         558378 function calls (525617 primitive calls) in 7.973 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       10    0.000    0.000    0.000    0.000 hub.py:282(cached_files)
       30    0.000    0.000    0.000    0.000 qwen3_next.py:66(__init__)
        1    0.000    0.000    0.000    0.000 utils.py:251(load_config)
      5/3    0.000    0.000    0.000    0.000 _parser.py:452(_parse_sub)
       84    0.000    0.000    0.000    0.000 dataclasses.py:766(_is_type)
        4    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
       33    0.000    0.000    0.000    0.000 <frozen genericpath>:48(isdir)
        1    0.000    0.000    0.000    0.000 __init__.py:185(dumps)
       40    0.000    0.000    0.000    0.000 switch_layers.py:12(_gather_sort)
    76/64    0.000    0.000    0.000    0.000 annotationlib.py:1131(_get_dunder_annotations)
     1758    0.000    0.000    0.000    0.000 qwen3_5.py:301(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:287(compile)
        1    0.000    0.000    0.000    0.000 encoder.py:185(encode)
       43    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
     1758    0.000    0.000    0.000    0.000 qwen3_5.py:302(<genexpr>)
        1    0.000    0.000    0.000    0.000 encoder.py:207(iterencode)
      5/3    0.000    0.000    0.000    0.000 _parser.py:512(_parse)
       60    0.000    0.000    0.000    0.000 inspect.py:2770(_format)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:419(__enter__)
      120    0.000    0.000    0.000    0.000 inspect.py:1725(getattr_static)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:809(module_from_spec)
        3    0.000    0.000    0.000    0.000 configuration_qwen3_5_moe.py:228(__init__)
      293    0.000    0.000    0.000    0.000 copy.py:212(_keep_alive)
       22    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
        1    0.000    0.000    0.000    0.000 gated_delta.py:1(<module>)
       19    0.000    0.000    0.000    0.000 __init__.py:251(__str__)
        1    0.000    0.000    0.000    0.000 tokenization_utils_base.py:1202(add_tokens)
        1    0.000    0.000    0.000    0.000 tokenization_utils_tokenizers.py:691(_add_tokens)
        1    0.000    0.000    0.000    0.000 {method 'add_tokens' of 'tokenizers.Tokenizer' objects}
     1460    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
        4    0.000    0.000    0.000    0.000 gated_delta.py:15(_make_gated_delta_kernel)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:736(_init_module_attrs)
     1249    0.000    0.000    0.000    0.000 enum.py:1146(__new__)
        1    0.000    0.000    0.000    0.000 __init__.py:1522(warning)
     1920    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
        4    0.000    0.000    0.000    0.000 __init__.py:663(exists)
        1    0.000    0.000    0.000    0.000 embedding.py:43(to_quantized)
