         165190 function calls (158580 primitive calls) in 2.098 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 {method 'add_tokens' of 'tokenizers.Tokenizer' objects}
      106    0.000    0.000    0.000    0.000 inspect.py:1725(getattr_static)
    48/10    0.000    0.000    0.000    0.000 configuration_utils.py:1009(dict_dtype_to_str)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:809(module_from_spec)
        1    0.000    0.000    0.000    0.000 gated_delta.py:1(<module>)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:419(__enter__)
       51    0.000    0.000    0.000    0.000 generate.py:382(<lambda>)
      730    0.000    0.000    0.000    0.000 base.py:226(is_module)
        1    0.000    0.000    0.000    0.000 __init__.py:1522(warning)
     1614    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
       52    0.000    0.000    0.000    0.000 base.py:58(create_ssm_mask)
       19    0.000    0.000    0.000    0.000 __init__.py:251(__str__)
    48/10    0.000    0.000    0.000    0.000 configuration_utils.py:1026(_remove_keys_not_serialized)
        4    0.000    0.000    0.000    0.000 gated_delta.py:15(_make_gated_delta_kernel)
        1    0.000    0.000    0.000    0.000 utils.py:251(load_config)
        1    0.000    0.000    0.000    0.000 __init__.py:1641(_log)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:736(_init_module_attrs)
        4    0.000    0.000    0.000    0.000 __init__.py:663(exists)
     1098    0.000    0.000    0.000    0.000 enum.py:1146(__new__)
        4    0.000    0.000    0.000    0.000 <frozen genericpath>:16(exists)
     2137    0.000    0.000    0.000    0.000 inspect.py:2733(name)
      320    0.000    0.000    0.000    0.000 generate.py:241(<lambda>)
       22    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
    81/79    0.000    0.000    0.000    0.000 copy.py:233(<genexpr>)
     1095    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
        2    0.000    0.000    0.000    0.000 utils.py:206(_download)
        3    0.000    0.000    0.000    0.000 _compiler.py:590(_code)
      106    0.000    0.000    0.000    0.000 inspect.py:1686(_check_class)
       18    0.000    0.000    0.000    0.000 qwen3_next.py:66(__init__)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1408(_fill_cache)
        3    0.000    0.000    0.000    0.000 dataclasses.py:670(_init_fn)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:239(cache_from_source)
        1    0.000    0.000    0.000    0.000 tokenization_auto.py:430(get_tokenizer_config)
        1    0.000    0.000    0.000    0.000 qwen3_5.py:24(__annotate__)
       61    0.000    0.000    0.000    0.000 inspect.py:1339(formatannotation)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isfile)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:304(acquire)
       50    0.000    0.000    0.000    0.000 tokenizer_utils.py:52(last_segment)
        3    0.000    0.000    0.000    0.000 modeling_rope_utils.py:632(convert_rope_params_to_dict)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
